TeamID,Code,File Code,Abbreviation,Name,Full Name,Brief Name
108,angels,ana,LAA,LA Angels,Los Angeles Angels,Angels
109,diamondbacks,ari,ARI,Arizona,Arizona Diamondbacks,D-backs
110,orioles,bal,BAL,Baltimore,Baltimore Orioles,Orioles
111,redsox,bos,BOS,Boston,Boston Red Sox,Red Sox
112,cubs,chc,CHC,Chi Cubs,Chicago Cubs,Cubs
113,reds,cin,CIN,Cincinnati,Cincinnati Reds,Reds
114,guardians,cle,CLE,Cleveland,Cleveland Indians,Indians
115,rockies,col,COL,Colorado,Colorado Rockies,Rockies
116,tigers,det,DET,Detroit,Detroit Tigers,Tigers
117,astros,hou,HOU,Houston,Houston Astros,Astros
118,royals,kc,KC,Kansas City,Kansas City Royals,Royals
119,dodgers,la,LAD,LA Dodgers,Los Angeles Dodgers,Dodgers
120,nationals,was,WSH,Washington,Washington Nationals,Nationals
121,mets,nym,NYM,NY Mets,New York Mets,Mets
133,athletics,oak,OAK,Oakland,Oakland Athletics,Athletics
134,pirates,pit,PIT,Pittsburgh,Pittsburgh Pirates,Pirates
135,padres,sd,SD,San Diego,San Diego Padres,Padres
136,diamondbacks,sea,SEA,Seattle,Seattle Mariners,Mariners
137,giants,sf,SF,San Francisco,San Francisco Giants,Giants
138,cardinals,stl,STL,St. Louis,St. Louis Cardinals,Cardinals
139,rays,tb,TB,Tampa Bay,Tampa Bay Rays,Rays
140,rangers,tex,TEX,Texas,Texas Rangers,Rangers
141,bluejays,tor,TOR,Toronto,Toronto Blue Jays,Blue Jays
142,twins,min,MIN,Minnesota,Minnesota Twins,Twins
143,phillies,phi,PHI,Philadelphia,Philadelphia Phillies,Phillies
144,braves,atl,ATL,Atlanta,Atlanta Braves,Braves
145,whitesox,cws,CWS,Chi White Sox,Chicago White Sox,White Sox
146,marlins,mia,MIA,Miami,Miami Marlins,Marlins
147,yankees,nyy,NYY,NY Yankees,New York Yankees,Yankees
158,brewers,mil,MIL,Milwaukee,Milwaukee Brewers,Brewers
159,aas,al,AL,AL All-Stars,American League All-Stars,AL All-Stars
160,nas,nl,NL,NL All-Stars,National League All-Stars,NL All-Stars
